pVX,pVY,pX,pY,AIX,AIY,AIVY,success
15.6009,-1.65399,226.775,89.2272,618,39.1013,0.314976,1
14.2196,7.17186,386.54,145.007,618,190.733,4.31683,1
16.9574,-18.6171,36.251,194.568,618,239.439,1.56125,1
2.13857,-4.66337,41.5698,156.528,618,244.454,0.436098,1
12.6016,17.2175,351.351,193.629,618,53.5207,5.9773,1
13.7705,-3.36003,293.723,323.599,618,268.666,-1.04743,1
6.72415,-18.1014,307.593,126.271,618,227.077,-4.31247,1
15.6154,19.6415,160.222,98.7462,618,339.399,-9.42831,1
15.0079,10.1342,273.979,39.6405,618,226.755,1.93019,1
17.9247,-9.0916,188.474,274.842,618,177.352,-5.06418,1
